"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U26","PCB-wov5llpgebpq1pwypz48-1","113.1mm","80.1446mm","113.1mm","80.1446mm","115.2mm","78.5196mm","T","180.00","LT3045IMSE"
"U25","PCB-wizual0g3wynqnqrtsvy-1","113mm","92.9446mm","113mm","92.9446mm","115.1mm","91.3196mm","T","180.00","LT3094EMSE"
"R46","PCB-3d5y3t7f8drf35yjcj59-1","112.5mm","85.0446mm","112.5mm","85.0446mm","111.611mm","85.0446mm","T","360.00","91k"
"R45","PCB-3d5y3t7f8drf35yjcj59-1","112.2mm","97.9446mm","112.2mm","97.9446mm","111.311mm","97.9446mm","T","0.00","91k"
"C124","PCB-rf0pzaa82dpbeu9l4sxm-1","112.5mm","83.4446mm","112.5mm","83.4446mm","111.738mm","83.4446mm","T","360.00","10u"
"C123","PCB-9bfrndi9huxo1n7cihpl-1","119.3mm","76.2mm","119.3mm","76.2mm","119.3mm","77.4446mm","T","270.00","100u"
"C122","PCB-9bfrndi9huxo1n7cihpl-1","106.5mm","82.8446mm","106.5mm","82.8446mm","106.5mm","81.6mm","T","90.00","100u"
"C121","PCB-rf0pzaa82dpbeu9l4sxm-1","108.8mm","77.7446mm","108.8mm","77.7446mm","108.8mm","76.9826mm","T","90.00","100n"
"C120","PCB-rf0pzaa82dpbeu9l4sxm-1","117.2mm","81.3446mm","117.2mm","81.3446mm","117.2mm","82.1066mm","T","270.00","100n"
"C119","PCB-rf0pzaa82dpbeu9l4sxm-1","112.1mm","96.0446mm","112.1mm","96.0446mm","111.338mm","96.0446mm","T","360.00","10u"
"C118","PCB-9bfrndi9huxo1n7cihpl-1","119.3mm","87.2mm","119.3mm","87.2mm","119.3mm","85.9554mm","T","90.00","100u"
"C117","PCB-9bfrndi9huxo1n7cihpl-1","106.3mm","93.7mm","106.3mm","93.7mm","106.3mm","94.9446mm","T","270.00","100u"
